ID	cortisone	cortisol
100_81723-Observation-1-07/29/2024-Bovine-Saliva_231	4.17	2.34
101_81726-Observation-1-07/17/2024-Bovine-Saliva_245	0.73	0.26
103_81706-Observation-1-07/29/2024-Bovine-Saliva_108	0.81	0.28
105_81723-Observation-1-07/25/2024-Bovine-Saliva_174	0.85	0.34
106_81696-Observation-2-07/25/2024-Bovine-Saliva_223	0.20	0.07
107_81711-Observation-2-07/25/2024-Bovine-Saliva_123	0.62	0.23
108_81706-Observation-2-07/25/2024-Bovine-Saliva_054	0.73	0.29
11_81726-Observation-2-07/17/2024-Bovine-Saliva_038	0.60	0.14
110_81684-Observation-1-08/05/2024-Bovine-Saliva_045	0.53	0.21
114_81724-Observation-3-07/17/2024-Bovine-Saliva_163	1.57	0.70
117_81705-Observation-3-07/25/2024-Bovine-Saliva_143	0.64	0.22
118_81698-Observation-1-08/06/2024-Bovine-Saliva_030	0.68	0.22
119_81684-Observation-1-07/17/2024-Bovine-Saliva_048	0.33	0.15
12_81698-Observation-1-07/25/2024-Bovine-Saliva_197	1.04	0.33
120_81700-Observation-1-07/17/2024-Bovine-Saliva_021	1.01	0.34
121_81677-Observation-2-07/25/2024-Bovine-Saliva_144	0.83	0.38
122_81691-Observation-3-07/25/2024-Bovine-Saliva_257	0.47	0.21
123_81704-Observation-1-07/29/2024-Bovine-Saliva_192	0.07	0.08
124_81692-Observation-1-08/06/2024-Bovine-Saliva_004	0.47	0.22
125_81700-Observation-2-07/25/2024-Bovine-Saliva_019	0.30	0.21
126_81701-Observation-3-07/17/2024-Bovine-Saliva_096	0.25	0.09
127_81724-Observation-1-07/29/2024-Bovine-Saliva_124	0.26	0.27
13_81680-Observation-2-07/17/2024-Bovine-Saliva_140	0.46	0.18
131_81723-Observation-3-07/25/2024-Bovine-Saliva_173	2.24	0.92
132_81701-Observation-1-07/25/2024-Bovine-Saliva_007	0.85	0.30
133_81704-Observation-2-07/17/2024-Bovine-Saliva_250	0.34	0.14
134_81715-Observation-2-07/25/2024-Bovine-Saliva_219	0.20	0.17
136_81703-Observation-2-07/25/2024-Bovine-Saliva_127	0.41	0.13
137_81703-Observation-1-08/05/2024-Bovine-Saliva_028	0.97	0.34
138_81694-Observation-2-07/25/2024-Bovine-Saliva_131	0.84	0.53
139_81684-Observation-3-07/25/2024-Bovine-Saliva_114	0.47	0.28
14_81696-Observation-3-07/25/2024-Bovine-Saliva_046	0.34	0.13
140_81715-Observation-1-07/25/2024-Bovine-Saliva_012	1.98	1.01
141_81667-Observation-1-07/17/2024-Bovine-Saliva_026	0.38	0.16
142_81667-Observation-2-07/17/2024-Bovine-Saliva_203	0.12	0.09
143_81724-Observation-2-07/17/2024-Bovine-Saliva_107	0.12	0.05
145_81680-Observation-2-07/25/2024-Bovine-Saliva_167	1.11	0.36
146_81720-Observation-1-07/25/2024-Bovine-Saliva_118	1.76	0.70
148_81704-Observation-1-07/25/2024-Bovine-Saliva_157	0.59	0.23
15_81720-Observation-1-07/29/2024-Bovine-Saliva_135	0.25	0.15
151_81706-Observation-1-08/05/2024-Bovine-Saliva_241	0.32	0.23
152_81723-Observation-1-07/17/2024-Bovine-Saliva_156	0.46	0.16
153_81696-Observation-1-08/05/2024-Bovine-Saliva_119	0.57	0.25
154_81676-Observation-1-08/06/2024-Bovine-Saliva_237	1.35	0.66
155_81702-Observation-1-07/25/2024-Bovine-Saliva_132	0.45	0.26
156_81698-Observation-2-07/25/2024-Bovine-Saliva_024	1.33	0.44
158_81702-Observation-2-07/17/2024-Bovine-Saliva_009	0.70	0.31
159_81702-Observation-3-07/17/2024-Bovine-Saliva_188	0.64	0.25
