Sample	CSU-TB-02194	CSU-TB-02195	CSU-TB-02196	CSU-TB-02197	CSU-TB-02198	CSU-TB-02199	CSU-TB-02200	CSU-TB-02201	CSU-TB-02202	CSU-TB-02203	CSU-TB-02204	CSU-TB-02205	CSU-TB-02206	CSU-TB-02207	CSU-TB-02423	CSU-TB-02424	CSU-TB-02425	CSU-TB-02426	CSU-TB-02427	CSU-TB-02428	CSU-TB-02430	CSU-TB-02431	CSU-TB-02433	CSU-TB-02434	CSU-TB-02435	CSU-TB-02436	CSU-TB-02437	CSU-TB-02442
Label	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Activation	Incident	Incident
100.07552_5.2746	0.988878646	0.929592479	1.230075823	0.846958704	1.058476834	1.062198022	0.964872475	1.040683587	0.963484266	1.109678119	1.040747992	0.901633501	0.785603227	1.040975737	1.008980578	1.246783421	1.206122368	1.054281545	1.242026338	1.222782959	1.157624754	1.016192933	1.02104106	1.03484464	1.271093575	1.219702277	1.085644666	1.12189994
100.07555_10.0655	1.072707754	0.972337959	1.145245399	0.99710456	1.067688043	1.039705129	0.981718602	1.118647885	0.994805557	1.111371123	1.012514793	1.023301641	0.854504481	1.108249051	1.098254182	1.250355756	1.192472082	1.155776902	1.140692661	1.144579627	1.097411387	1.034231055	1.061947108	0.978510199	1.264926698	1.127072933	1.023580199	1.02759182
100.07559_9.0135	1.276779295	1.240561696	1.040565234	1.183827088	0.998019901	1.183751183	1.07106745	1.135168974	1.033876146	1.070423337	0.961533243	1.111873091	0.740912643	1.156160931	1.286495664	1.245246004	1.305322575	1.152723272	1.282090163	1.235282459	1.278496113	1.174271	1.29247391	1.194677118	1.066420566	1.141932784	1.076097696	1.100008915
102.09116_2.2705	0.860385746	0.608960043	0.92641621	0.21655187	0.657987944	0.853232713	0.889497225	0.934174229	0.743258731	1.016095315	0.922961145	0.891997426	0.833197134	0.994492078	0.974429321	1.088515534	1.038012976	0.976275507	0.842783709	0.925358784	0.894839488	0.985566735	0.911139613	0.938154003	0.979390454	0.937409404	0.935536327	0.701900041
103.03881_2.2947	0.993136722	0.896292734	1.046614642	0.900744849	1.075314974	0.990186768	0.859808729	1.017314476	0.923077296	1.012097003	0.9974415	1.004305917	0.958854668	1.013699432	1.001160937	1.074107294	1.081272601	1.059776644	1.004844446	1.07542378	0.958268323	0.987615847	0.969941401	0.972066008	1.033636026	1.062244238	1.058705014	0.966861954
103.05405_18.4979	0.801933946	0.770710569	0.838236029	0.623229201	0.708446084	0.788905268	0.83462596	1.034233658	0.855734155	0.952393433	0.926183068	0.867324293	0.218614423	0.650588493	0.874063821	1.066289453	0.989408015	0.893664786	1.018355165	1.029082102	0.915276745	0.902431077	0.847849844	0.906446398	1.008411061	0.844540489	1.013490748	0.99548761
103.05406_8.7453	0.925214753	1.031203745	0.997857363	0.869806504	1.041327071	0.94712537	0.903570799	1.037069333	0.87083703	1.011270591	0.973175258	0.988515807	0.942956098	0.935221894	0.959594514	1.105207624	1.022922542	1.073348815	1.102831651	1.07944703	0.982666759	0.943769222	0.981217766	0.958333418	1.068627848	1.10887989	0.918384151	1.006775099
105.00029_2.4249	0.77937351	0.810651425	0.859203666	0.836438241	0.867971095	0.754444673	0.772815909	0.874358062	0.74737317	0.804069077	0.84105621	0.778931418	0.714759199	0.845818993	0.874837833	1.010175654	0.868294755	0.886777403	0.813833742	0.953099175	0.83203718	0.836833955	0.843303513	0.808755324	0.995646282	0.926581281	0.848247198	0.825226149
105.03331_15.9247	0.814647474	0.922933676	0.813959034	0.599354232	0.716635586	0.76967383	0.657159118	0.853616541	0.872745232	0.893473701	0.712682962	0.840228521	0.509344828	0.702968804	0.837962364	0.93690549	0.983495007	0.872108436	0.792304657	1.011111649	0.654864597	0.805012764	0.853027052	0.768470852	0.954699727	0.769216146	0.960338183	0.773352365
105.05705_13.5131	1.096335118	1.132860342	1.092880536	0.852459018	1.049247359	1.031528272	0.98623213	1.03221953	1.051500164	1.081419307	1.060855226	1.067229119	0.849126821	1.012395099	1.087893335	1.187244673	1.15856704	1.120512707	1.113589994	1.158644704	1.029801283	1.117281614	1.079308565	1.063226977	1.149705185	1.060709811	1.117675717	1.111151239
106.044_13.5095	0.919704986	0.950596211	0.912894114	0.731488186	0.873695284	0.857109169	0.818191368	0.913327014	0.877895878	0.905258881	0.889097103	0.894282341	0.72654639	0.843074438	0.90888022	0.997840878	0.972054332	0.941244299	0.931846015	0.971327243	0.868366616	0.933003579	0.899589789	0.861933184	0.963976913	0.890629689	0.942714378	0.930993461
107.04898_14.5886	0.933026379	1.007500463	0.85118154	0.672349068	0.995601086	0.876686798	0.714357202	0.924730576	0.943306625	0.90877316	0.815935256	0.93601151	0.699700101	0.799178095	0.9788433	1.098260832	0.880417981	1.065355583	0.852871205	0.955964592	0.962659167	0.940863023	0.966655331	0.793771295	0.943702469	0.859384217	0.993036894	0.990509233
107.08535_20.6145	0.730622798	0.817948519	0.829702422	0.693272227	0.954961974	0.80926757	0.7602072	0.815521269	0.445129352	0.933700635	0.711559379	0.762304501	0.861729728	0.780567693	0.829543071	0.906607868	0.982156175	0.948193538	0.872849458	0.927555534	0.712935078	0.842036336	0.901044018	0.732825025	0.854776418	0.983173938	0.937381344	0.736662036
110.03472_9.8566	0.722448075	0.84877481	0.741346951	0.58560242	0.699434166	0.77940464	0.756490827	0.844004478	0.926549592	1.009982809	0.906485813	0.945413274	0.76899169	0.943190949	0.866608252	1.031649858	1.037387428	1.047799582	0.963008316	1.016663018	0.687931261	0.948856568	0.919255205	0.932835579	0.816002851	0.8090153	0.943504602	0.962796358
110.07109_3.1965	0.813239825	0.884351336	0.87762627	0.809283505	0.966479576	0.837927327	0.773182467	0.90635716	0.762668528	0.870747448	0.831873401	0.811211608	0.792489767	0.861175797	0.887487677	0.964919141	0.88585093	0.935457404	0.905874144	0.939670386	0.869928443	0.852702491	0.833880434	0.820062951	0.944179407	0.960441358	0.841443059	0.871152787
110.07115_1.3725	0.834143146	0.722779648	0.967825256	0.848733624	1.021294962	0.842926825	0.673263677	0.900907961	0.786056609	0.82314474	0.905032	0.929025297	0.696622972	0.749054631	0.845663515	1.033107452	0.957266123	1.023256825	1.02094928	1.028961882	0.851713528	0.877851379	0.877150194	0.938542995	1.012158314	0.953373841	0.883349254	0.894200458
111.00753_4.546	1.077289683	1.123538842	0.914555796	1.027562777	1.152341735	1.069353335	1.008697703	1.057478988	0.965826768	1.062380517	1.05497043	0.901037274	0.952346896	1.05813267	1.10722995	1.225594737	1.113768518	0.998503403	1.129817482	1.199878137	1.106471392	0.952134407	1.053594195	1.027293234	1.027163988	1.16378909	1.053382399	1.164830064
111.08028_18.1045	0.732429063	0.835245595	0.863676723	0.684392669	0.938835316	0.794997069	0.750325384	0.816246333	0.397460942	0.856654448	0.728539155	0.732113721	0.785256862	0.771306239	0.759846135	0.997294084	0.869112187	0.895271157	0.894987242	0.919181133	0.710048833	0.779253366	0.796462244	0.656999217	0.998670606	0.957944604	0.891970061	0.871710456
114.06675_1.5315	1.436585057	1.427642315	1.444692544	1.391554955	1.474765556	1.393959953	1.318643847	1.447751838	1.329216718	1.408377645	1.412457928	1.376191782	1.388670102	1.381739782	1.444707673	1.516174445	1.466306606	1.497202506	1.461520721	1.518015664	1.412527152	1.527193947	1.503014504	1.387882464	1.499855053	1.510451621	1.387778149	1.469134615
114.1276_22.1909	0.970679948	1.037998091	0.93993716	0.869756376	1.08261395	0.961385099	0.848060857	1.040309298	0.733353786	0.990696984	0.87990394	1.037332349	0.868967332	0.9884252	0.986669329	1.125677208	1.136303843	1.085319357	1.060358801	1.00449527	0.913028168	0.963734362	1.066050662	0.917259617	1.012371405	1.212678455	0.817726675	1.042190484
