gt	Area
ML1>>	2.392418897
ML1>>	1.977150073
ML1>>	2.679428177
ML1>>	2.300644619
ML1>>	2.042630465
ML1>>	2.330244684
ML1>>	2.271550727
ML1>>	2.186062883
ML1>>	1.911307951
ML1>>	1.969692031
ML1>>	2.244013629
ML1>>	2.402362129
ML1>>	2.717548014
ML1>>	2.604126775
ML1>>	2.373536139
ML1>>	2.206929596
ML1>>SoPIN1	2.048720602
ML1>>SoPIN1	2.374905278
ML1>>SoPIN1	1.941545055
ML1>>SoPIN1	2.120783725
ML1>>SoPIN1	2.286124833
ML1>>SoPIN1	2.074915722
ML1>>SoPIN1	2.105998507
ML1>>SoPIN1	1.642995009
ML1>>SoPIN1	2.186273994
ML1>>SoPIN1	2.133922026
ML1>>SoPIN1	1.989883434
ML1>>SoPIN1	1.524340424
ML1>>PIN1b	2.118463967
ML1>>PIN1b	2.686582513
ML1>>PIN1b	1.895880756
ML1>>PIN1b	2.019356339
ML1>>PIN1b	2.291438425
ML1>>PIN1b	2.165910986
ML1>>PIN1b	2.382380603
ML1>>PIN1b	2.040252682
ML1>>PIN1b	2.654687381
ML1>>PIN1b	2.755924643
ML1>>PIN1b	2.846632252
ML1>>PIN1b	2.299960667
ML1>>PIN1b	2.14978379
ML1>>PIN1b	2.45894497
ML1>>PIN1b	1.855172024
ML1>>PIN1b	2.505871001
